model,category,peak_dh,success,output_raw,target_expected
microsoft/Phi-3-mini-4k-instruct,Recency,0.3735,True,"The original value was 28.

Input>
Label A→B with either """,28
microsoft/Phi-3-mini-4k-instruct,Recency,0.4156,True,The original value was 48. Fact: The temperature in Celsius is 20,48
microsoft/Phi-3-mini-4k-instruct,Recency,0.3744,True,"The original value was 27.

Input>
Label A→B with either """,27
microsoft/Phi-3-mini-4k-instruct,Recency,0.4074,True,The original value was 17. Fact: The temperature in Celsius is 25,17
microsoft/Phi-3-mini-4k-instruct,Recency,0.3915,True,The original value was 82. Fact: The temperature in New York City was 75,82
microsoft/Phi-3-mini-4k-instruct,Recency,0.4202,True,The original value was 40. Fact: The temperature in New York City was 70,40
microsoft/Phi-3-mini-4k-instruct,Recency,0.3716,True,"The original value was 25.

To find the original value, we need to determine",25
microsoft/Phi-3-mini-4k-instruct,Recency,0.4212,True,The original value was 56. Fact: The temperature in Celsius is 20,56
microsoft/Phi-3-mini-4k-instruct,Recency,0.4285,True,The original value was 37. Fact: The temperature was 20 degrees Celsius,37
microsoft/Phi-3-mini-4k-instruct,Recency,0.3936,True,The original value was 46. Fact: The number is 100. Fact:,46
microsoft/Phi-3-mini-4k-instruct,Recency,0.3602,True,The original value was 64. Fact: The number of apples in a basket is,64
microsoft/Phi-3-mini-4k-instruct,Recency,0.3728,True,"The original value was 15.

To find the original value, we need to determine",15
microsoft/Phi-3-mini-4k-instruct,Recency,0.4096,True,The original value was 97. Fact: The temperature in Celsius is 20,97
microsoft/Phi-3-mini-4k-instruct,Recency,0.3792,True,"The original value was 27.

To find the original value, we need to determine",27
microsoft/Phi-3-mini-4k-instruct,Recency,0.3791,True,The original value was 85. Fact: The number is 12. Fact: The,85
microsoft/Phi-3-mini-4k-instruct,Syllogism,0.1687,True,"No. Tweety is not definitely a bird. While it is true that all birds are animals,",No
microsoft/Phi-3-mini-4k-instruct,Syllogism,0.2814,True,"No.


Solution 1:
No, Plato is not definitely a phil",No
microsoft/Phi-3-mini-4k-instruct,Syllogism,0.1687,True,"No. Tweety is not definitely a bird. While it is true that all birds are animals,",No
microsoft/Phi-3-mini-4k-instruct,Syllogism,0.1687,True,"No. Tweety is not definitely a bird. While it is true that all birds are animals,",No
microsoft/Phi-3-mini-4k-instruct,Syllogism,0.2566,True,"No, Tweity being mortal does not definitively make her a philosopher.
Question",No
microsoft/Phi-3-mini-4k-instruct,Syllogism,0.2055,True,No. Socrates is not definitely a bird. The argument commits the fallacy of aff,No
microsoft/Phi-3-mini-4k-instruct,Syllogism,0.2545,True,"No.

Rex is an animal, but the statement only establishes that all birds are",No
microsoft/Phi-3-mini-4k-instruct,Syllogism,0.2572,True,"No.


Rex is mortal, but the statement ""All philosophers are mort",No
